# step cpu_mb gpu_mb
289 1314.61 0.00
290 1314.61 0.00
291 1314.61 0.00
292 1314.61 0.00
293 1314.61 0.00
294 1314.61 0.00
295 1314.61 0.00
296 1314.61 0.00
297 1314.61 0.00
298 1314.61 0.00
299 1314.61 0.00
300 1314.61 0.00
301 1314.61 0.00
302 1314.61 0.00
303 1314.61 0.00
304 1314.61 0.00
305 1314.61 0.00
306 1314.61 0.00
307 1314.61 0.00
308 1314.61 0.00
309 1314.61 0.00
310 1314.61 0.00
311 1314.61 0.00
312 1314.61 0.00
313 1314.61 0.00
314 1314.61 0.00
315 1314.61 0.00
316 1314.61 0.00
317 1314.61 0.00
318 1314.61 0.00
319 1314.61 0.00
320 1314.61 0.00
321 1314.61 0.00
322 1314.61 0.00
323 1314.61 0.00
324 1314.61 0.00
325 1314.61 0.00
326 1314.61 0.00
327 1314.61 0.00
328 1314.61 0.00
329 1314.61 0.00
330 1314.61 0.00
331 1314.61 0.00
332 1314.61 0.00
333 1314.61 0.00
334 1314.61 0.00
335 1314.61 0.00
336 1314.61 0.00
337 1314.61 0.00
338 1314.61 0.00
339 1314.61 0.00
340 1314.61 0.00
341 1314.61 0.00
342 1314.61 0.00
343 1314.61 0.00
344 1314.61 0.00
345 1314.61 0.00
346 1314.61 0.00
347 1314.61 0.00
348 1314.61 0.00
349 1314.61 0.00
350 1314.61 0.00
351 1314.61 0.00
352 1314.61 0.00
353 1314.61 0.00
354 1314.61 0.00
355 1314.61 0.00
356 1314.61 0.00
357 1314.61 0.00
358 1314.61 0.00
359 1314.61 0.00
360 1314.61 0.00
361 1314.61 0.00
362 1314.61 0.00
363 1314.61 0.00
364 1314.61 0.00
365 1314.61 0.00
366 1314.61 0.00
367 1314.61 0.00
368 1314.61 0.00
369 1314.61 0.00
370 1314.61 0.00
371 1314.61 0.00
372 1314.61 0.00
373 1314.61 0.00
374 1314.61 0.00
375 1314.61 0.00
376 1314.61 0.00
377 1314.61 0.00
378 1314.61 0.00
379 1314.61 0.00
380 1314.61 0.00
381 1314.61 0.00
382 1314.61 0.00
383 1314.61 0.00
384 1314.61 0.00
385 1314.61 0.00
386 1314.61 0.00
387 1314.61 0.00
388 1314.61 0.00
389 1314.61 0.00
390 1314.61 0.00
391 1314.61 0.00
392 1314.61 0.00
393 1314.61 0.00
394 1314.61 0.00
395 1314.61 0.00
396 1314.61 0.00
397 1314.61 0.00
398 1314.61 0.00
399 1314.61 0.00
400 1314.61 0.00
401 1314.61 0.00
402 1314.61 0.00
403 1314.61 0.00
404 1314.61 0.00
405 1314.61 0.00
406 1314.61 0.00
407 1314.61 0.00
408 1314.61 0.00
409 1314.61 0.00
410 1314.61 0.00
411 1314.61 0.00
412 1314.61 0.00
413 1314.61 0.00
414 1314.61 0.00
415 1314.61 0.00
416 1314.61 0.00
417 1314.61 0.00
418 1314.61 0.00
419 1314.61 0.00
420 1314.61 0.00
421 1314.61 0.00
422 1314.61 0.00
423 1314.61 0.00
424 1314.61 0.00
425 1314.61 0.00
426 1314.61 0.00
427 1314.61 0.00
428 1314.61 0.00
429 1314.61 0.00
430 1314.61 0.00
431 1314.61 0.00
432 1314.61 0.00
433 1314.61 0.00
434 1314.61 0.00
435 1314.61 0.00
436 1314.61 0.00
437 1314.61 0.00
438 1314.61 0.00
439 1314.61 0.00
440 1314.61 0.00
441 1314.61 0.00
442 1314.61 0.00
443 1314.61 0.00
444 1314.61 0.00
445 1314.61 0.00
446 1314.61 0.00
447 1314.61 0.00
448 1314.61 0.00
449 1314.61 0.00
450 1314.61 0.00
451 1314.61 0.00
452 1314.61 0.00
453 1314.61 0.00
454 1314.61 0.00
455 1314.61 0.00
456 1314.61 0.00
457 1314.61 0.00
458 1314.61 0.00
459 1314.61 0.00
460 1314.61 0.00
461 1314.61 0.00
462 1314.61 0.00
463 1314.61 0.00
464 1314.61 0.00
465 1314.61 0.00
466 1314.61 0.00
467 1314.61 0.00
468 1314.61 0.00
469 1314.61 0.00
470 1314.61 0.00
471 1314.61 0.00
472 1314.61 0.00
473 1314.61 0.00
474 1314.61 0.00
475 1314.61 0.00
476 1314.61 0.00
477 1314.61 0.00
478 1314.61 0.00
479 1314.61 0.00
480 1314.61 0.00
481 1314.61 0.00
482 1314.61 0.00
483 1314.61 0.00
484 1314.61 0.00
485 1314.61 0.00
486 1314.61 0.00
487 1314.61 0.00
488 1314.61 0.00
489 1314.61 0.00
490 1314.61 0.00
491 1314.61 0.00
492 1314.61 0.00
493 1314.61 0.00
494 1314.61 0.00
495 1314.61 0.00
496 1314.61 0.00
497 1314.61 0.00
498 1314.61 0.00
499 1314.61 0.00
500 1314.61 0.00
501 1314.61 0.00
502 1314.61 0.00
503 1314.61 0.00
